Prompt,Reference,Model_Response,Similarity,Evidence,Consistency,Latency,Final_Score
What is the capital of Japan?,Tokyo,The capital of Japan is Tokyo ().,0.7007536888122559,0.8709813356399536,0.9870784878730774,9.941,0.826
What is the capital of France?,Paris,The capital of France is Paris.,0.7253358960151672,0.781851053237915,1.0000001192092896,5.234,0.803
What is the capital of Canada?,Ottawa,The capital of Canada is Ottawa.,0.7702113389968872,0.8870070576667786,0.9999999403953552,7.462,0.863
What is the capital of Australia?,Canberra,The capital of Australia is Canberra.,0.8166012763977051,0.8691259622573853,0.9999999403953552,5.598,0.874
What is the capital of Germany?,Berlin,The capital of Germany is Berlin.,0.757104754447937,0.7858996391296387,1.0,3.193,0.817
Which is the largest country by area?,Russia,"The largest country in the world by land area is Russia, covering approximately 17.1 million square kilometers (6.6 million square miles). It spans across much of northern Eurasia and shares borders with several countries, including Norway, Finland, Estonia, Latvia, Lithuania, Belarus, Ukraine, Poland",0.4492153227329254,0.8296617865562439,0.9432892203330994,6.986,0.7
Which ocean is the largest?,Pacific Ocean,"The Pacific Ocean is the largest of the five oceans, covering an area of approximately 155.6 million square kilometers (60.1 million square miles). It's also the deepest ocean, with a maximum depth of about 11,022 meters (36,198 feet) in the Mariana T",0.5978135466575623,0.6154912710189819,0.9495150446891785,8.246,0.675
Which desert is the largest hot desert?,Sahara Desert,"The largest hot desert in the world is the Sahara Desert, located in North Africa. It covers an area of approximately 9,200,000 square kilometers (3,552,000 square miles), which is about 3,000 miles (4,800 km) from west to east and up",0.6297432780265808,0.8578184247016907,0.9603700637817383,6.639,0.787
Which river is the longest in the world?,Nile River,"The longest river in the world is the Nile River, located in northeastern Africa. It stretches approximately 6,853 kilometers (4,258 miles) from its sources in Burundi and Rwanda to its delta on the Mediterranean Sea in Egypt.

The Nile flows through 11 countries: Tanzania, Uganda,",0.6209595203399658,0.6583343148231506,0.9977536201477051,4.966,0.711
Mount Everest lies in which mountain range?,Himalayas,"Mount Everest, also known as Chomolungma or Sagarmatha, is located in the Himalayan mountain range. Specifically, it is situated on the border between Nepal and Tibet, China. The Himalayas are a major mountain range in Asia, stretching across several countries including India, Pakistan,",0.6624749898910522,0.8399044275283813,0.8798267245292664,4.484,0.777
Which country has the largest population?,China,"As of 2021, the country with the largest population is China, with a population of over 1.44 billion people. The United Nations estimates that China's population will continue to grow, but at a slower rate, and is expected to reach a peak of around 1.46 billion",0.39646780490875244,0.6739898324012756,0.9697845578193665,6.807,0.622
Which continent is the Sahara Desert located in?,Africa,"The Sahara Desert is located on the continent of Africa. It covers a vast area of approximately 9,200,000 square kilometers (3,552,000 sq mi) across several countries, including Algeria, Chad, Egypt, Libya, Mali, Mauritania, Morocco, Niger, and Tunisia.",0.4458315074443817,0.8148910999298096,0.9767385125160217,7.679,0.7
What is 12 multiplied by 8?,96,"Easy one!

12 × 8 = 96",0.5239683389663696,0.2016240954399109,0.9136168360710144,2.654,0.473
What is the square root of 144?,12,The square root of 144 is 12.,0.3954220414161682,0.29842835664749146,1.0,2.392,0.478
Solve for x: 2x + 6 = 14,x = 4,"Let's solve for x:

2x + 6 = 14

Subtract 6 from both sides:

2x = 8

Divide both sides by 2:

x = 4

So, the value of x is 4!",0.6171798706054688,0.17084243893623352,1.000000238418579,5.972,0.515
What is 15 percent of 200?,30,"To find 15% of 200, you can multiply 200 by 0.15.

200 x 0.15 = 30

So, 15% of 200 is 30.",0.24866428971290588,0.03691092133522034,0.9858618378639221,4.697,0.311
